seed,data_idx,msep,cross_val_error
0,0,0.0002534967667345,9
0,1,0.0003178489265278,9
0,2,0.0003802561713793,9
0,3,0.0004627614577662,9
0,4,0.0002333315691987,9
0,5,0.000327584923499,8
0,6,0.0002655263952522,9
0,7,0.0002447792395635,9
0,8,0.0002349805391859,9
0,9,0.0002890812725906,9
1,0,0.0003007946224268,8
1,1,0.0003178489265278,9
1,2,0.0003802561713793,9
1,3,0.0004627614577662,9
1,4,0.0002333315691987,9
1,5,0.0002993471968986,9
1,6,0.0002655263952522,9
1,7,0.0002447792395635,9
1,8,0.0002279112974836,8
1,9,0.0002768103807003,8
2,0,0.0002534967667345,9
2,1,0.0003178489265278,9
2,2,0.0003802561713793,9
2,3,0.0004627614577662,9
2,4,0.0002333315691987,9
2,5,0.0002993471968986,9
2,6,0.0002655263952522,9
2,7,0.0002447792395635,9
2,8,0.0002349805391859,9
2,9,0.0002890812725906,9
3,0,0.0002534967667345,9
3,1,0.0003178489265278,9
3,2,0.0003802561713793,9
3,3,0.0004627614577662,9
3,4,0.0002333315691987,9
3,5,0.0002993471968986,9
3,6,0.0002655263952522,9
3,7,0.0002447792395635,9
3,8,0.0002349805391859,9
3,9,0.0002890812725906,9
4,0,0.0002534967667345,9
4,1,0.0003178489265278,9
4,2,0.0003802561713793,9
4,3,0.0004627614577662,9
4,4,0.0002333315691987,9
4,5,0.0002993471968986,9
4,6,0.0002655263952522,9
4,7,0.0002447792395635,9
4,8,0.0002279112974836,8
4,9,0.00028908127259066717,9
